id	stem	gloss	part_of_speech	strongs_list
857	seek	(complex) to search for something	Verb	G2045,G2212,H1156,H2664
858	seek-attention	(complex) X tries to gain the attention of Y in order to talk to him/her.	Verb	
859	seem	(LDV) people think that something is true (John seems to be trustworthy.)	Verb	G1380,H2370
860	seem	(LDV) people think that some event happened (It seems that John went to the store.)	Verb	G1380,H2370
861	seem	(LDV) one thing seems like another thing (Mary seems like an honest person.)	Verb	G1380,H2370
862	seize	(complex) to take hold of something suddenly and violently	Verb	H0270,G1949,H6117,G0726,G1283
863	sell	(LDV) to sell something to someone	Verb	H4376
864	send	(LDV) to send a person or thing to do some task (Mary sent John to the store so that he could buy groceries.)	Verb	H7971,G1821,G3343,G4311,G0375
865	send	(LDV) to send a letter, message, or package to someone	Verb	H7971,G1821,G3343,G4311,G0375
866	send	(LDV) to send something to someone (not a letter)	Verb	H7971,G1821,G3343,G4311,G0375
867	separate	(LDV) to separate something from something	Verb	H0995,G1244,H6567,H0680,G1252
868	serve	(LDV) to work for  someone	Verb	G4754,H8120,H6399
869	serve	(LDV) to prepare, bring, and give food to someone	Verb	G4754,H8120,H6399
870	set	(LDV) the sun or moon sets	Verb	H6983,H6186,H3661,G4741,G5452
871	set-up	(LDV) to set up, construct or prepare something like a tent or camp	Verb	
872	sew	(LDV) to sew something (clothing)	Verb	H8609
873	sex	(universal) to have sexual relations with someone	Verb	H2145,G3813,G4203,G1060,H5288
874	shake	(LDV) something shakes (intransitive)  (The ground shook.)	Verb	G1286,G1621,H2151,H2112,H4128
875	shake	(LDV) to shake something (transitive)	Verb	G1286,G1621,H2151,H2112,H4128
876	shake	(LDV) a body part (knees, hands, etc.) shakes because of fear	Verb	G1286,G1621,H2151,H2112,H4128
877	share	(LDV) to let someone have or use something that belongs to you	Verb	G2841,G4790,G4829,G3348
878	share	(LDV) to have or use something with other people	Verb	G2841,G4790,G4829,G3348
879	shave	(complex) to cut the hair from a man's face	Verb	G3587
880	shave	(complex) to cut the hair from a body part other than the face (John shaved his head.)	Verb	G3587
881	shepherd	(complex) to guide and take care of someone	Verb	G4166
882	shine	(LDV) something shines (The stars shine.)	Verb	H3313,H8080,G2014
883	shine	(LDV) to shine on something (The light shined on the wall.)	Verb	H3313,H8080,G2014
884	shoot	(LDV) to shoot a bow	Verb	H7232,H7160,G2700,H7976,H5342
885	shoot	(LDV) to shoot an arrow at something	Verb	H7232,H7160,G2700,H7976,H5342
886	shout	(LDV) to shout something to someone, a direct quote	Verb	H7438,H1906,H7445
887	shout	(LDV) to shout something (The students shouted the pledge.)	Verb	H7438,H1906,H7445
888	shout	(LDV) what animals do when they make a loud noise (e.g., The lion roared.  The dog barked.  The rooster crowed. etc.)	Verb	H7438,H1906,H7445
889	shout	(LDV) to shout something, an indirect quote  (The people shouted that ...)	Verb	H7438,H1906,H7445
890	show	(LDV) to show something to someone	Verb	G5346,H2324,G0398,G1166,G5541
891	show	(LDV) to show someone that something is true or that something happened	Verb	G5346,H2324,G0398,G1166,G5541
892	show	(LDV) to show something abstract such as a vision or dream to someone	Verb	G5346,H2324,G0398,G1166,G5541
893	show-how	(LDV) to show someone how to do something (John showed Mary how to walk with crutches.)	Verb	
894	show-how	(LDV) to show someone how someone else does something (John showed Mary how Bill walks with crutches.)	Verb	
895	sigh	(complex) to breath deeply, the person is disturbed or tired or sad	Verb	H0584,G0389,G4726
896	sign	(complex) to write one's name on an official document	Verb	G4953,H3487
897	sin	(complex) to disobey God, do things that God hates	Verb	G4258,H5512,G0266,G0265
898	sing	(LDV) to sing a song (Mary sang a song.)	Verb	G0103,H7891
899	sing	(LDV) to sing (without specifying what was sung) (Mary sang all morning.)	Verb	G0103,H7891
900	sing	(LDV) a direct quote	Verb	G0103,H7891
901	sink	(LDV) to sink in a liquid, to go under the top of the liquid (intransitive)(e.g., Luke 5:7 The boat began to sink.)	Verb	G1036,H7817,G1744,H7743,H2883
902	sit	(LDV) to be in the seated position (John was sitting on a chair.)	Verb	G1273,G4332,G2516,H3488,G3869
903	sit-down	(LDV) to move from a standing position to a seated position (John sat down on a chair.)	Verb	
904	sit-up	(LDV) to move from a lying position to a sitting position (John sat up.)	Verb	
905	slander	(complex) to say false things about someone in order to damage other people’s good opinion of them	Verb	G3059,H1681
906	slaughter	(complex) to kill an animal as a sacrifice or for a meal	Verb	H2076,H2873,H7819,H7821,H4939
907	sleep	(LDV) to sleep	Verb	G5258,H8142,H8153
908	sling	(complex) to sling something at someone	Verb	H7049,H7050
909	slip	(LDV) to slide a short distance and slighly lose your balance (John slipped on the wet rocks.)	Verb	H6403
910	smell	(LDV) to smell something, sniff the air around the object (Mary smelled the rose.)	Verb	H0887,G3750
911	smell	(LDV) to smell either good or bad (The perfume smells good. The garbage smells bad.)	Verb	H0887,G3750
912	smell	(LDV) to smell like something (Mary smells like a rose.)	Verb	H0887,G3750
913	smile	(LDV) to make your mouth curve upwards, in order to be friendly or because you are happy or amused	Verb	
914	sneeze	(universal) to sneeze when you have a cold	Verb	H2237
915	sound-like	(LDV) one word sounds like a proposition	Verb	
916	sound-like	(LDV) one word sounds like another word (noun)	Verb	
917	sound-like	(LDV) one thing sounds like another thing (The man's voice sounded like thunder.)	Verb	
918	speak	(LDV) generic word for speaking to an audience (John spoke to the people about the disease.)	Verb	H3937,H4448,G0653,H4449,G2036
919	speak	(LDV) to speak a language	Verb	H3937,H4448,G0653,H4449,G2036
920	spend	(LDV) to pay money (or goods) for something	Verb	H6972,G0980
921	spill	(complex) to accidently spill the contents of a container onto something	Verb	H8210
922	spit	(simple) to spit at someone or something	Verb	H7556,G1716,G1609,G4429,H3417
923	spread	(LDV) to spread, become more widespread (Israelites spread)	Verb	H6581,H7234,H2666,H7502,H6584
924	spread	(LDV) to spread something (paint, tar)	Verb	H6581,H7234,H2666,H7502,H6584
925	sprinkle	(complex) to scatter small drops of liquid	Verb	H2236
926	sprout	(complex) when a seed starts growing to produce a plant (The seeds sprouted.)	Verb	H6779,H1876,G1631,H3127,H1877
927	squeeze	(simple) to press something firmly with your fingers or hand	Verb	G4084,H6072
928	stab	(complex) paired with 'to kill' or 'to cut'; to push a knife into someone's body	Verb	H2944,H1856
929	stand	(LDV) to stand at some place (John stood in front of the door.)	Verb	G0436,G1881,G1339,G2721,H5975
930	stand-up	(LDV) to move from a sitting position to a standing position	Verb	
931	stand-up	(LDV) to move from lying down to standing up	Verb	
932	stare	(complex) to look at something for a long time	Verb	H8173
933	start	(LDV) a border starts at a specified place	Verb	G1816,G3729
934	start	DELETE - use 'begin'   a temporal event starts (The feast will start tomorrow.)	Verb	
935	starve	(complex) to die because of not eating	Verb	H1856
936	stay	(LDV) to remain somewhere	Verb	G4037,G3887,G1696,G3306,G1265
937	stay-away	(LDV) to stay away from someone or something	Verb	
938	steal	(LDV) to steal something from someone	Verb	
939	step	(LDV) to put your foot down on or near something	Verb	H4703,H0838,G0898,H5930,G0968
940	sting	(LDV) an insect stings a person	Verb	G3817,G2759,G4651,H5391,G2660
941	stir	(complex) to make a liquid in a container move 	Verb	G2795,G5015
942	stone	(complex) to kill someone by throwing stones at them	Verb	G2642,G3038,H4773,H0068,H6864
943	store	(LDV) to keep something (goods) somewhere (for later use)	Verb	H0686,H3647
944	stretch	(LDV) to become longer or bigger (That wineskin stretched.)	Verb	H4969,G1901,H2909,H1911,G5178
945	struggle	(LDV) to fight, argue, etc against someone (in a non-physical way)	Verb	G0464,G4865,G1864,G2610,G0075
946	study	(LDV) to carefully read or review something in order to learn it	Verb	G4692
947	stumble	(complex) to hit your foot against something so that you almost fall	Verb	H3782,G4624
948	submit	(complex alternate) to agree to obey someone	Verb	G1379,G3980
949	succeed	(LDV)	Verb	G2137,H6329,H3787,G1237
950	suffer	(LDV) to experience physical or mental pain	Verb	G4777,H5142
951	suggest	(LDV) to advise someone to do something	Verb	G5294,G5279
952	suggest	(LDV) to tell someone an idea (John suggesed a plan.)	Verb	G5294,G5279
953	support	(LDV) to agree with someone and help them (Mary supported John.)	Verb	H8172,G1991,H8454,H4938,G1477
954	support	(LDV) to hold something up (Those beams support the roof.)	Verb	H8172,G1991,H8454,H4938,G1477
955	surprise	(LDV)	Verb	G2285,G2284,G4301,H0253,G2396
956	surrender	(complex) to give up while fighting an army	Verb	G5226,G3860,G4273
957	surround	(LDV) something surrounds the outside of something	Verb	H5826,H0661
958	swallow	(LDV) to swallow something	Verb	H3938
959	swallow	(LDV) to make food or drink go down your throat	Verb	H3938
960	swear	(complex) to make an oath in someone's name to do something, always paired with 'to promise'	Verb	G3660
961	swear	"(complex) to promise with a direct quote (e.g., John swore, ""I'll climb that mountain."")"	Verb	G3660
962	sweat	(complex) to have drops of salty liquid come from the skin	Verb	H3154
963	sweep	(LDV)	Verb	H5500,H2894
964	swell	(LDV) a body part becomes larger and rounder than normal	Verb	H1921,G1032,H6075,G1073
965	swim	(LDV)	Verb	H7811
966	take	(LDV) to carry, transport, or move something from one place to another place (John took the book to the library.)	Verb	G1723,G3191,G0588,G0385,H3947
967	take	(LDV) to take someone to someplace (John took Mary to the concert.)	Verb	G1723,G3191,G0588,G0385,H3947
968	take	(LDV) to take an animal to someplace (John took the sheep to the meadow.)	Verb	G1723,G3191,G0588,G0385,H3947
969	take	(LDV) to take something from someone and keep it as your own (John took Mary's book.)	Verb	G1723,G3191,G0588,G0385,H3947
970	take	(LDV) to deliver something to someone (John took the book to Mary.)	Verb	G1723,G3191,G0588,G0385,H3947
971	take-away	(LDV) to take something or someone away from someone else (John took the book away from Mary.)	Verb	
972	take-away	(LDV) to take something abstract away from someone	Verb	
973	take-away	(LDV) to take something or someone away from a place (John took the garbage away from the house.)	Verb	
974	take-off	(LDV) to remove clothing (John took off his shoes.)	Verb	
975	take-out	(LDV) to take one thing out of another thing (John took the pizza out from the oven.)	Verb	
976	talk	(LDV) to talk to someone about something (John talked to Mary about that book.)	Verb	G4354,G2980,G1255,G4814,G2981
977	talk	(LDV) to talk about an event (John talked about going to the library. John talked about Mary going to the library.)	Verb	G4354,G2980,G1255,G4814,G2981
978	taste	(LDV) to taste some food	Verb	H2939,H2938,G1089
979	taste	(LDV) food tastes good, or tastes like something	Verb	H2939,H2938,G1089
980	teach	(LDV) to teach someone about something (He taught them about cars.)	Verb	G1321
981	teach	(LDV) to teach someone something such as a language or a lesson (John's parents taught a lesson to him.)	Verb	G1321
982	teach	(LDV) to teach someone something (John taught his son that he should work hard.)	Verb	G1321
983	teach	(LDV) to teach someone to do something (John taught his son to work hard.)	Verb	G1321
984	teach-how	(LDV) to teach someone how to do somthing (Mary taught John how to cook.)	Verb	
985	tear	(LDV) to tear something	Verb	H5421,H5428,H5420,H5255,H6533
986	tear	(LDV) something tears (intransitive) (The nets tore.)	Verb	H5421,H5428,H5420,H5255,H6533
987	tell	(LDV) indirect speech (John told Mary that Steve went to school.)	Verb	G1232
988	tell	(LDV) to tell someone to do something (Mary told John to read a book.)	Verb	G1232
989	tell	(LDV) to tell someone about something (Mary told John about the conference.)	Verb	G1232
990	tell	(LDV) to tell something to someone (Mary told a story to John.)	Verb	G1232
991	tell	"(LDV) direct speech (John told Mary, ""I read that book yesterday."")"	Verb	G1232
992	tempt	(complex) to tell someone to do bad things	Verb	
993	terrify	(complex) to frighten someone severely (paired with 'to frighten')	Verb	H0927
994	test	(LDV) to test someone	Verb	G1833,H5254,G3987,H0974,G1381
995	testify	(complex) to make a formal statement of what is true	Verb	G2649,G4901,G4828
996	testify	(complex) to testify to someone about something (John testified about Bill to the judge.)	Verb	G2649,G4901,G4828
997	thank	(LDV) to thank someone for something	Verb	G0133,G2127
998	think	(universal primitive) to think about something (John thought about the problem.)	Verb	G2106,G4065,G4909,G2706,G3340
999	think	"(universal primitive) direct ""speech"" (John thought, ""I should go to the store."")"	Verb	G2106,G4065,G4909,G2706,G3340
1000	think	(universal primitive) to think something is true (John thought that Mary went to the store.)	Verb	G2106,G4065,G4909,G2706,G3340
1001	think	(universal primitive) to think about doing something yourself (John thought about reading the book.)	Verb	G2106,G4065,G4909,G2706,G3340
1002	think	(universal primitive) to think a thought	Verb	G2106,G4065,G4909,G2706,G3340
1003	threaten	(complex) to say that you'll do bad things to someone (John threatened Bill.)	Verb	
1004	thresh	(complex) to separate the grain from the stalks by hitting them with a stick	Verb	H1758
